nombre;email;rol;comunidad;vivienda;coeficiente;derechoVoto
Antonio Sánchez;antonio.sánchez27@example.com;vecino;Mar y Sal;2º 8;0,5;VERDADERO
Antonio Martínez;antonio.martínez28@example.com;vecino;Mar y Sal;2º 9;0,5;VERDADERO
María Ruiz;maría.ruiz29@example.com;vecino;Mar y Sal;2º 10;0,5;FALSO
José Dáz;josé.dáz30@example.com;vecino;Mar y Sal;3º 1;0,5;VERDADERO
María Gómez;maría.gómez31@example.com;vecino;Mar y Sal;3º 2;0,5;VERDADERO
Manuel Pérez;manuel.pérez32@example.com;vecino;Mar y Sal;3º 3;0,5;VERDADERO
Antonio Moreno;antonio.moreno33@example.com;vecino;Mar y Sal;3º 4;0,5;VERDADERO
Laura Moreno;laura.moreno34@example.com;vecino;Mar y Sal;3º 5;0,5;VERDADERO
Carlos Ruiz;carlos.ruiz35@example.com;vecino;Mar y Sal;3º 6;0,5;VERDADERO
José Alvarez;josé.alvarez36@example.com;vecino;Mar y Sal;3º 7;0,5;VERDADERO
Lucía Fernández;lucía.fernández37@example.com;vecino;Mar y Sal;3º 8;0,5;VERDADERO
Lucía López;lucía.lópez38@example.com;vecino;Mar y Sal;3º 9;0,5;VERDADERO
Antonio Moreno;antonio.moreno39@example.com;vecino;Mar y Sal;3º 10;0,5;VERDADERO
Ana Alvarez;ana.alvarez40@example.com;vecino;Mar y Sal;4º 1;0,5;VERDADERO
Ana Fernández;ana.fernández41@example.com;vecino;Mar y Sal;4º 2;0,5;VERDADERO
Laura Moreno;laura.moreno42@example.com;vecino;Mar y Sal;4º 3;0,5;VERDADERO
Manuel Sánchez;manuel.sánchez43@example.com;vecino;Mar y Sal;4º 4;0,5;VERDADERO
Manuel López;manuel.lópez44@example.com;vecino;Mar y Sal;4º 5;0,5;VERDADERO
Ana Pérez;ana.pérez45@example.com;vecino;Mar y Sal;4º 6;0,5;VERDADERO
José Gómez;josé.gómez47@example.com;vecino;Mar y Sal;4º 8;0,5;VERDADERO
Lucía Ruiz;lucía.ruiz48@example.com;vecino;Mar y Sal;4º 9;0,5;VERDADERO
María Gómez;maría.gómez49@example.com;vecino;Mar y Sal;4º 10;0,5;VERDADERO
Carlos Fernández;carlos.fernández50@example.com;vecino;Mar y Sal;5º 1;0,5;VERDADERO
María Moreno;maría.moreno51@example.com;vecino;Mar y Sal;5º 2;0,5;VERDADERO
Ana Fernández;ana.fernández52@example.com;vecino;Mar y Sal;5º 3;0,5;VERDADERO
Ana Fernández;ana.fernández53@example.com;vecino;Mar y Sal;5º 4;0,5;FALSO
Manuel Moreno;manuel.moreno54@example.com;vecino;Mar y Sal;5º 5;0,5;VERDADERO
Laura Dóaz;laura.dóaz55@example.com;vecino;Mar y Sal;5º 6;0,5;VERDADERO
Javier López;javier.lópez56@example.com;vecino;Mar y Sal;5º 7;0,5;VERDADERO
José Pérez;josé.pérez57@example.com;vecino;Mar y Sal;5º 8;0,5;VERDADERO
Carlos Sánchez;carlos.sánchez58@example.com;vecino;Mar y Sal;5º 9;0,5;VERDADERO
María Pérez;maría.pérez59@example.com;vecino;Mar y Sal;5º 10;0,5;FALSO
Antonio Fernández;antonio.fernández60@example.com;vecino;Mar y Sal;6º 1;0,5;VERDADERO
Carlos Dóaz;carlos.dóaz61@example.com;vecino;Mar y Sal;6º 2;0,5;VERDADERO
Carlos Moreno;carlos.moreno62@example.com;vecino;Mar y Sal;6º 3;0,5;VERDADERO
Lucía Pérez;lucía.pérez63@example.com;vecino;Mar y Sal;6º 4;0,5;VERDADERO
Javier López;javier.lópez64@example.com;vecino;Mar y Sal;6º 5;0,5;VERDADERO
Manuel Martínez;manuel.martínez65@example.com;vecino;Mar y Sal;6º 6;0,5;VERDADERO
Manuel Moreno;manuel.moreno66@example.com;vecino;Mar y Sal;6º 7;0,5;VERDADERO
Laura Sánchez;laura.sánchez67@example.com;vecino;Mar y Sal;6º 8;0,5;VERDADERO
Isabel Gómez;isabel.gómez68@example.com;vecino;Mar y Sal;6º 9;0,5;VERDADERO
Isabel Sánchez;isabel.sánchez69@example.com;vecino;Mar y Sal;6º 10;0,5;VERDADERO
Manuel Moreno;manuel.moreno70@example.com;vecino;Mar y Sal;7º 1;1;VERDADERO
José López;josé.lópez71@example.com;vecino;Mar y Sal;7º 2;1;VERDADERO
Antonio Dóaz;antonio.dóaz72@example.com;vecino;Mar y Sal;7º 3;1;VERDADERO
Isabel Moreno;isabel.moreno73@example.com;vecino;Mar y Sal;7º 4;1;FALSO
Lucía Gómez;lucía.gómez74@example.com;vecino;Mar y Sal;7º 5;1;VERDADERO
Ana Fernández;ana.fernández75@example.com;vecino;Mar y Sal;7º 6;1;VERDADERO
María Pérez;maría.pérez76@example.com;vecino;Mar y Sal;7º 7;1;FALSO
Laura Fernández;laura.fernández77@example.com;vecino;Mar y Sal;7º 8;1;FALSO
Lucía Gómez;lucía.gómez78@example.com;vecino;Mar y Sal;7º 9;1;VERDADERO
Isabel Gómez;isabel.gómez79@example.com;vecino;Mar y Sal;7º 10;1;FALSO
Carlos Gómez;carlos.gómez80@example.com;vecino;Mar y Sal;8º 1;1;VERDADERO
Manuel Dóaz;manuel.dóaz81@example.com;vecino;Mar y Sal;8º 2;1;VERDADERO
Antonio Martínez;antonio.martínez82@example.com;vecino;Mar y Sal;8º 3;1;VERDADERO
Carlos López;carlos.lópez83@example.com;vecino;Mar y Sal;8º 4;1;VERDADERO
Laura Moreno;laura.moreno84@example.com;vecino;Mar y Sal;8º 5;1;FALSO
María Ruiz;maría.ruiz85@example.com;vecino;Mar y Sal;8º 6;1;VERDADERO
María Alvarez;maría.alvarez86@example.com;vecino;Mar y Sal;8º 7;1;FALSO
Manuel Martínez;manuel.martínez87@example.com;vecino;Mar y Sal;8º 8;1;VERDADERO
Lucía Dóaz;lucía.dóaz88@example.com;vecino;Mar y Sal;8º 9;1;VERDADERO
Laura Gómez;laura.gómez89@example.com;vecino;Mar y Sal;8º 10;1;VERDADERO
José Fernández;josé.fernández90@example.com;vecino;Mar y Sal;Ático 1;2;VERDADERO
Ana Moreno;ana.moreno91@example.com;vecino;Mar y Sal;Ático 2;2;VERDADERO
Javier Fernández;javier.fernández92@example.com;vecino;Mar y Sal;Ático 3;2;VERDADERO
Javier Alvarez;javier.alvarez93@example.com;vecino;Mar y Sal;Ático 4;2;VERDADERO
Ana Sánchez;ana.sánchez94@example.com;vecino;Mar y Sal;Ático 5;2;VERDADERO
Lucía López;lucía.lópez95@example.com;vecino;Mar y Sal;Ático 6;2;VERDADERO
Javier Fernández;javier.fernández96@example.com;vecino;Mar y Sal;Ático 7;2;VERDADERO
Isabel Gómez;isabel.gómez97@example.com;vecino;Mar y Sal;Ático 8;2;VERDADERO
María Fernández;maría.fernández98@example.com;vecino;Mar y Sal;Ático 9;2;VERDADERO
Javier Moreno;javier.moreno99@example.com;vecino;Mar y Sal;Ático 10;2;VERDADERO
Administrador Comunidad;admin@comunidad.com;admin;Mar y Sal;0;0;VERDADERO
SuperAdministrador;super@comunidad.com;superadmin;Mar y Sal;S;0;VERDADERO
